iter	Passed	Remaining
0	1	1115
1	1	721
2	1	586
3	2	542
4	2	513
5	2	469
6	3	440
7	3	422
8	3	404
9	3	388
10	4	376
11	4	371
12	4	362
13	5	354
14	5	349
15	5	345
16	5	346
17	6	343
18	6	341
19	6	336
20	7	334
21	7	338
22	7	337
23	8	336
24	8	332
25	8	330
26	9	330
27	9	328
28	9	330
29	10	332
30	10	330
31	10	329
32	11	326
33	11	325
34	11	322
35	11	320
36	12	318
37	12	316
38	12	316
39	13	316
40	13	314
41	13	313
42	14	312
43	14	310
44	14	309
45	14	306
46	15	307
47	15	306
48	15	306
49	16	307
50	16	306
51	16	306
52	17	307
53	17	308
54	17	308
55	18	306
56	18	305
57	18	304
58	19	303
59	19	301
60	19	300
61	19	299
62	20	302
63	20	302
64	20	301
65	21	301
66	21	300
67	21	299
68	22	298
69	22	297
70	22	295
71	22	294
72	23	293
73	23	292
74	23	291
75	23	290
76	24	289
77	24	288
78	24	288
79	25	287
80	25	287
81	25	286
82	25	283
83	25	283
84	26	282
85	26	281
86	26	280
87	26	279
88	27	279
89	27	278
90	27	278
91	28	277
92	28	277
93	28	276
94	28	276
95	29	275
96	29	274
97	29	273
98	30	273
99	30	272
100	30	271
101	30	271
102	31	270
103	31	270
104	31	269
105	31	269
106	32	268
107	32	268
108	32	268
109	33	268
110	33	268
111	33	267
112	33	266
113	34	266
114	34	265
115	34	266
116	35	265
117	35	264
118	35	263
119	35	263
120	36	263
121	36	262
122	36	261
123	36	260
124	37	260
125	37	260
126	37	258
127	37	258
128	38	258
129	38	257
130	38	257
131	39	256
132	39	256
133	39	255
134	39	255
135	40	254
136	40	254
137	40	254
138	40	253
139	41	252
140	41	252
141	41	251
142	41	250
143	42	250
144	42	249
145	42	249
146	42	249
147	43	248
148	43	247
149	43	247
150	43	246
151	44	246
152	44	246
153	44	245
154	44	245
155	45	244
156	45	244
157	45	244
158	46	243
159	46	243
160	46	242
161	46	242
162	47	243
163	47	242
164	47	242
165	48	241
166	48	241
167	48	241
168	49	241
169	49	241
170	49	240
171	49	240
172	50	239
173	50	239
174	50	239
175	51	238
176	51	238
177	51	238
178	51	238
179	52	238
180	52	238
181	52	237
182	53	237
183	53	237
184	53	237
185	54	236
186	54	236
187	54	236
188	55	236
189	55	236
190	55	235
191	55	235
192	56	234
193	56	234
194	56	234
195	57	233
196	57	233
197	57	232
198	57	232
199	58	232
200	58	231
201	58	231
202	58	231
203	59	230
204	59	230
205	59	230
206	60	229
207	60	229
208	60	229
209	60	228
210	61	228
211	61	228
212	61	227
213	61	227
214	62	227
215	62	226
216	63	229
217	63	229
218	64	228
219	64	228
220	64	228
221	64	227
222	65	227
223	65	226
224	65	226
225	66	226
226	66	225
227	66	225
228	66	224
229	67	224
230	67	223
231	67	223
232	67	223
233	68	223
234	68	222
235	68	222
236	69	222
237	69	222
238	69	221
239	69	221
240	70	220
241	70	220
242	70	220
243	71	220
244	71	219
245	71	219
246	71	218
247	72	218
248	72	218
249	72	217
250	72	217
251	73	216
252	73	216
253	73	216
254	73	215
255	74	215
256	74	215
257	74	214
258	74	214
259	75	214
260	75	213
261	75	213
262	76	213
263	76	212
264	76	212
265	76	212
266	77	211
267	77	211
268	77	211
269	77	210
270	78	210
271	78	210
272	78	209
273	79	209
274	79	209
275	79	208
276	79	208
277	80	208
278	80	207
279	80	207
280	80	207
281	81	206
282	81	206
283	81	206
284	82	205
285	82	205
286	82	205
287	82	205
288	83	204
